`Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-02-11,2024-02-12,XXXX,IC* INSTACART,Merchandise,16.06,
2024-02-10,2024-02-12,XXXX,WEGMANS #45,Merchandise,5.23,
2024-02-10,2024-02-12,XXXX,JP SAKURA INC,Dining,12.98,
2024-02-08,2024-02-09,XXXX,MCDONALD'S F20663,Dining,1.16,
2024-02-08,2024-02-09,XXXX,SQ *SEOULSPICE NAVY YA,Dining,10.94,
2024-02-08,2024-02-08,XXXX,McDonalds 20663,Dining,1.16,
2024-02-07,2024-02-08,XXXX,SQ *BEN & JERRY'S DIST,Dining,8.35,
2024-02-06,2024-02-06,XXXX,IC* INSTACART,Merchandise,60.8,
2024-02-06,2024-02-06,XXXX,IC* INSTACART,Merchandise,0.21,
2024-02-04,2024-02-06,XXXX,TOKYO PEARL,Dining,39.28,
2024-02-03,2024-02-05,XXXX,TEN REN TEA GINSENG CO,Merchandise,4.34,
2024-02-04,2024-02-05,XXXX,UBER* TRIP,Other Travel,5.18,
2024-02-03,2024-02-05,XXXX,HABIT ROCKVILLE #17Q91,Dining,8.64,
2024-02-04,2024-02-05,XXXX,SQ *LA COLOMBE - CHINA,Dining,2.97,
2024-02-04,2024-02-05,XXXX,UBER   TRIP,Other Travel,4.52,
2024-02-02,2024-02-05,XXXX,TST* FRANKLIN HALL SOMEWHERE,Dining,13.2,
2024-02-02,2024-02-05,XXXX,TST* FRANKLIN HALL SOMEWHERE,Dining,16.08,
2024-02-04,2024-02-05,XXXX,TST* GREGORY'S COFFEE,Dining,4.95,
2024-02-03,2024-02-05,XXXX,TST* CALL YOUR MOTHER,Dining,8.8,
2024-02-01,2024-02-03,XXXX,SUSHIKO - CHEVY CHASE,Dining,40.35,
2024-02-01,2024-02-02,XXXX,CHEESECAKE WASHINGTON,Dining,10.14,
2024-02-01,2024-02-01,XXXX,IC* INSTACART,Merchandise,17.93,
2024-01-30,2024-01-30,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,160.01
2024-01-28,2024-01-29,XXXX,TST* FRANKLIN HALL SOMEWHERE,Dining,11.36,
2024-01-28,2024-01-29,XXXX,TST* FRANKLIN HALL SOMEWHERE,Dining,14.04,
2024-01-29,2024-01-29,XXXX,TST* TATTE BAKERY - 14,Dining,7.68,
2024-01-27,2024-01-29,XXXX,ROYAL SANDS SOCIAL CLU,Dining,9.36,
2024-01-28,2024-01-29,XXXX,UBER   TRIP,Other Travel,3.26,
2024-01-27,2024-01-29,XXXX,TST* DACHA SOMEWHERE,Dining,7.47,
2024-01-27,2024-01-29,XXXX,TST* DACHA SOMEWHERE,Dining,5.95,
2024-01-27,2024-01-29,XXXX,UBER   LIME,Entertainment,6.45,
2024-01-27,2024-01-29,XXXX,PAIK PRODUCE,Merchandise,1.2,
2024-01-27,2024-01-27,XXXX,UBER   EATS,Dining,44.73,
2024-01-15,2024-01-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-01-26,2024-01-26,XXXX,TST* RESIDENTS CAFE &,Dining,34.32,
2024-01-26,2024-01-26,XXXX,TST* SOMEWHERE IMPROV COMEDY,Dining,30.14,
2024-01-25,2024-01-26,XXXX,IC* INSTACART,Merchandise,39.51,
2024-01-24,2024-01-24,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,51.46
2024-01-24,2024-01-24,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,275.33
2024-01-21,2024-01-23,XXXX,LA SCALA,Dining,4.33,
2024-01-21,2024-01-23,XXXX,LA SCALA,Dining,53.29,
2024-01-19,2024-01-22,XXXX,618 COCKTAIL AND WHISK,Dining,17.8,
2024-01-21,2024-01-22,XXXX,SQ *LA COLOMBE - ULINE,Dining,5.83,
2024-01-20,2024-01-22,XXXX,UBER   TRIP,Other Travel,3.4,
2024-01-20,2024-01-22,XXXX,UBER   TRIP,Other Travel,9.8,
2024-01-21,2024-01-22,XXXX,IC* INSTACART,Merchandise,0.93,
2024-01-21,2024-01-22,XXXX,IC* INSTACART,Merchandise,82.8,
2024-01-19,2024-01-20,XXXX,TST* CRIMSON DINER,Dining,36.34,
2024-01-18,2024-01-19,XXXX,FLORIANA,Dining,60.8,
2024-01-18,2024-01-18,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,113.43
2024-01-15,2024-01-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-01-15,2024-01-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-01-13,2024-01-15,XXXX,CANALES DELICATESSEN,Dining,4.4,
2024-01-14,2024-01-15,XXXX,SQ *LA COLOMBE - CHINA,Dining,5.72,
2024-01-13,2024-01-15,XXXX,SQ *BOZDEMIR LLC,Merchandise,10.3,
2024-01-12,2024-01-13,XXXX,CKE*TOASTIQUE WASHINGT,Dining,11.44,
2024-01-10,2024-01-11,XXXX,HARRISTEETER #383,Merchandise,63.1,
2024-01-09,2024-01-11,XXXX,SOLACE OUTPOST,Dining,8.7,
2024-01-09,2024-01-11,XXXX,SOLACE OUTPOST,Dining,4.9,
2024-01-09,2024-01-11,XXXX,SOLACE OUTPOST,Dining,4.35,
2024-01-10,2024-01-10,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,305.69
2024-01-09,2024-01-10,XXXX,SQ *LA COLOMBE - ULINE,Dining,6.53,
2024-01-07,2024-01-09,XXXX,EL PASO MEXICAN RESTAU,Dining,2.97,
2024-01-08,2024-01-08,XXXX,TST* ESP TEA AND COFFE,Dining,14.8,
2024-01-07,2024-01-08,XXXX,UBER   TRIP,Other Travel,3.6,
2024-01-06,2024-01-08,XXXX,LE DIPLOMATE,Dining,29.66,
2024-01-06,2024-01-08,XXXX,LE DIPLOMATE,Dining,9.96,
2024-01-06,2024-01-08,XXXX,IC* INSTACART,Merchandise,44.58,
2024-01-04,2024-01-05,XXXX,TST* SIGN OF THE WHALE,Dining,12.02,
2024-01-03,2024-01-05,XXXX,OLD EBBITT GRILL,Dining,63.6,
2024-01-04,2024-01-04,XXXX,TST* PUTTERY - WASHING,Dining,8.24,
2024-01-03,2024-01-03,XXXX,TST* WOK AND ROLL KARA,Dining,12.48,
2024-01-02,2024-01-03,XXXX,JINYA RAMEN BAR - WAS,Dining,19.88,
2024-01-02,2024-01-03,XXXX,HOTEL WASHINGTON F&B,Dining,8.45,
2024-01-02,2024-01-02,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,69.41
2024-01-02,2024-01-02,XXXX,TST* ESP TEA AND COFFE,Dining,6.39,
2024-01-01,2024-01-02,XXXX,HARRISTEETER #383,Merchandise,13.44,
2023-12-30,2024-01-02,XXXX,TST* DACHA SOMEWHERE,Dining,5.95,
2023-12-31,2024-01-02,XXXX,WHOLEFDS SCP #10563,Merchandise,2.62,
2024-01-01,2024-01-02,XXXX,TST* LA FAMOSA,Dining,47.06,
2023-12-15,2023-12-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2023-12-23,2023-12-26,XXXX,THE GROVE-WASHINGTOQPS,Dining,3.3,
2023-12-23,2023-12-26,XXXX,THE GROVE-WASHINGTOQPS,Dining,1.67,
2023-12-25,2023-12-26,XXXX,TST* COMMON BOND ON TH,Dining,6.98,
2023-12-21,2023-12-22,XXXX,CHIPOTLE 1936,Dining,5.24,
2023-12-18,2023-12-18,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,296.41
2023-12-17,2023-12-18,XXXX,TST* BAKED & WIRED,Dining,5.24,
2023-12-16,2023-12-18,XXXX,BLACKFINN SOMEWHERE,Dining,17.91,
2023-12-17,2023-12-18,XXXX,SQ *CAFE #65191 GEORGE,Dining,3.08,
2023-12-17,2023-12-18,XXXX,TST* IL CANALE,Dining,12.12,
2023-12-17,2023-12-18,XXXX,UBER   TRIP,Other Travel,6.7,
2023-12-16,2023-12-18,XXXX,SQ *COMPASS COFFEE,Dining,5.9,
2023-12-16,2023-12-18,XXXX,SQ *POTOMAC SWEETS,Merchandise,5.28,
2023-12-15,2023-12-16,XXXX,UBER   ONE,Other Travel,4.0,
2023-12-15,2023-12-15,XXXX,TST* RASA - BALLPARK,Dining,7.84,
2023-12-12,2023-12-13,XXXX,TST* BETHESDA BAGELS -,Dining,7.48,
2023-12-12,2023-12-12,XXXX,McDonalds 20663,Dining,1.1,
2023-12-11,2023-12-11,XXXX,TST* WALTERS SPORTS BA,Dining,18.68,
2023-12-10,2023-12-11,XXXX,HARRISTEETER #383,Merchandise,12.34,
2023-12-09,2023-12-11,XXXX,THE SMITH - PENN QUART,Dining,25.6,
2023-12-09,2023-12-11,XXXX,FOXTROT MARKET - FARRA,Merchandise,2.8,
2023-12-09,2023-12-11,XXXX,SQ *CAFE #65190 CHINAT,Dining,1.38,
2023-12-10,2023-12-11,XXXX,TST* DACHA SOMEWHERE,Dining,14.15,
2023-12-10,2023-12-11,XXXX,TST* DACHA SOMEWHERE,Dining,38.53,
2023-12-10,2023-12-11,XXXX,CAPBIKE*1 RIDE,Other Travel,0.76,
2023-12-09,2023-12-11,XXXX,AMK MYBANK ARENA,Dining,5.77,
2023-12-10,2023-12-11,XXXX,MYBANK ENTRTNMT,Entertainment,127.23,
2023-12-09,2023-12-11,XXXX,CAPBIKE*2 RIDES,Other Travel,0.1,
2023-12-09,2023-12-11,XXXX,SQ *LA COLOMBE - CHINA,Dining,2.97,
2023-12-09,2023-12-09,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,137.37
2023-12-08,2023-12-09,XXXX,TM TICKETMASTER,Entertainment,25.68,
2023-12-07,2023-12-08,XXXX,AMK MYBANK ARENA,Dining,5.54,
2023-12-07,2023-12-08,XXXX,AMK MYBANK ARENA,Dining,20.32,
2023-12-06,2023-12-06,XXXX,MYBANK ENTRTNMT,Entertainment,64.7,
2023-12-02,2023-12-04,XXXX,TOIGO ORCHARDS II,Merchandise,2.68,
2023-12-02,2023-12-04,9556,THE ADMIRAL,Dining,11.28,
2023-12-02,2023-12-04,XXXX,SP HEURICH HOUSE MUS,Merchandise,7.2,
2023-12-02,2023-12-04,XXXX,SQ *POTOMAC SWEETS,Merchandise,1.6,
2023-11-27,2023-11-28,9556,TST* BETHESDA BAGELS -,Dining,1.1,
2023-11-27,2023-11-28,9556,TST* BETHESDA BAGELS -,Dining,7.85,
2023-11-15,2023-11-27,XXXX,UBER ONE STMT CRED 9556,Other Travel,,4.0
2023-11-25,2023-11-27,XXXX,NOURIA STORE 1175,Gas/Automotive,2.0,
2023-11-25,2023-11-25,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,101.18
2023-11-24,2023-11-25,9556,SQ *CRYSTAL ROCK MAPLE,Merchandise,4.8,
2023-11-24,2023-11-25,9556,SQ *THE HAPPY CACTUS G,Merchandise,12.3,
2023-11-22,2023-11-22,XXXX,TST* RASA - BALLPARK,Dining,0.12,
2023-11-18,2023-11-21,XXXX,TOIGO ORCHARDS II,Merchandise,1.77,
2023-11-20,2023-11-20,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,9.25
2023-11-19,2023-11-20,XXXX,TST* PLANTA SOMEWHERE LLC,Dining,58.82,
2023-11-18,2023-11-20,XXXX,SP MEATCRAFTERS INC,Merchandise,6.0,
2023-11-18,2023-11-20,XXXX,SQ *F. J. MEDINA AND S,Other Services,3.1,
2023-11-18,2023-11-20,XXXX,SQ *SGF FARMHOUSE FOOD,Merchandise,6.02,
2023-11-18,2023-11-20,XXXX,SQ *DELTA SUPER FOODS,Merchandise,16.8,
2023-11-18,2023-11-20,XXXX,SQ *POTOMAC SWEETS,Merchandise,1.6,
2023-11-18,2023-11-20,XXXX,SQ *K FRESH MARKET,Merchandise,2.0,
2023-11-19,2023-11-20,9556,TST* TATTE BAKERY - WE,Dining,4.95,
2023-11-16,2023-11-16,XXXX,TST* RASA - BALLPARK,Dining,7.91,
2023-11-15,2023-11-16,9556,TST* ALL-PURPOSE - CAP,Dining,18.31,
2023-11-15,2023-11-16,9556,UBER   ONE,Other Travel,4.0,
2023-11-14,2023-11-16,9556,PIZZA CORNER,Dining,10.83,
2023-11-14,2023-11-15,9556,THE GOOD REVEREND KOM,Dining,0.1,
2023-11-13,2023-11-14,9556,TST* Bethesda Bagels -,Dining,6.6,
2023-11-12,2023-11-13,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,64.55
2023-11-12,2023-11-13,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,386.0
2023-11-12,2023-11-13,XXXX,TST* CHOPT CREATIVE SA,Dining,10.99,
2023-11-11,2023-11-13,XXXX,SUNOCO 0368295201  QPS,Gas/Automotive,2.21,
2023-11-11,2023-11-13,XXXX,WEGMANS TYSONS CRNR #1,Merchandise,0.8,
2023-11-11,2023-11-13,9556,SUGAR PALM THAI,Dining,8.86,
2023-11-11,2023-11-13,9556,GOOGLE *YouTubePremium,Internet,3.2,
2023-11-09,2023-11-10,9556,MYBANK ENTRTNMT,Entertainment,172.04,
2023-11-09,2023-11-10,9556,MYBANK ENTRTNMT,Entertainment,180.4,
2023-11-09,2023-11-09,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,68.47
2023-11-08,2023-11-09,9556,DUNKIN #349843 Q35,Dining,2.18,
2023-11-08,2023-11-09,9556,APEX ENTERTAINMENT,Entertainment,31.37,
2023-11-07,2023-11-08,9556,PRESSED CAFE PRUDENTI,Dining,23.5,
2023-11-05,2023-11-06,9556,TST* WOODLAND VEGETARI,Dining,9.39,
2023-11-02,2023-11-03,XXXX,COLDSTONE #21444,Dining,4.25,
2023-11-01,2023-11-03,9556,150 SOUTHBOROUGH LLC,Dining,31.34,
2023-11-01,2023-11-01,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,169.52
2023-10-28,2023-10-30,9556,Quattro Ristorante,Dining,26.89,
2023-10-28,2023-10-30,9556,MODERN PASTRY,Dining,42.12,
2023-10-28,2023-10-30,9556,TST* Mariel,Dining,41.74,
2023-10-15,2023-10-26,XXXX,UBER ONE STMT CRED 9556,Other Travel,,4.0
2023-10-26,2023-10-26,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,517.29
2023-10-25,2023-10-26,XXXX,CHAPS PIT BEEF - BALTI,Dining,13.38,
2023-10-25,2023-10-26,9556,SQ *COMPASS COFFEE,Dining,3.01,
2023-10-24,2023-10-25,9556,TST* All-Purpose - Cap,Dining,35.38,
2023-10-24,2023-10-25,9556,YELP-GRUBHUBBARRYSSTE,Dining,11.02,
2023-10-23,2023-10-24,9556,WEGMANS TYSONS CRNR #1,Merchandise,19.47,
2023-10-23,2023-10-24,9556,CHAR & STAVE LLC,Dining,6.2,
2023-10-22,2023-10-23,9556,DISTRICT WINERY,Dining,10.01,
2023-10-22,2023-10-23,9556,DISTRICT WINERY,Dining,26.69,
2023-10-22,2023-10-23,XXXX,CHAPS PIT BEEF - BALTI,Dining,1.97,
2023-10-22,2023-10-23,XXXX,SQ *TURKISH COFFEE LAD,Merchandise,12.99,
2023-10-22,2023-10-23,9556,CHAPS PIT BEEF - BALTI,Dining,11.09,
2023-10-20,2023-10-23,XXXX,PBS ARLINGTON,Dining,12.16,
2023-10-21,2023-10-23,XXXX,SQ *FARMERS MARKET ALL,Dining,5.09,
2023-10-21,2023-10-23,XXXX,SQ *COMPASS COFFEE,Dining,5.85,
2023-10-21,2023-10-23,XXXX,SP MEATCRAFTERS INC,Merchandise,3.2,
2023-10-21,2023-10-23,9556,WEGMANS TYSONS CRNR #1,Merchandise,8.75,
2023-10-21,2023-10-23,9556,SQ *SGF FARMHOUSE FOOD,Merchandise,7.2,
2023-10-21,2023-10-21,9556,TST* WHINO,Dining,37.28,
2023-10-21,2023-10-21,9556,TST* JENI'S SPLENDID I,Dining,3.58,
2023-10-20,2023-10-21,9556,SQ *TURKISH COFFEE LAD,Merchandise,10.72,
2023-10-19,2023-10-20,9556,TST* Hawkers Asian Str,Dining,35.62,
2023-10-19,2023-10-20,XXXX,SQ *LA COLOMBE - ULINE,Dining,3.3,
2023-10-19,2023-10-20,9556,DUNKIN #351850 Q35,Dining,2.6,
2023-10-19,2023-10-19,9556,TST* PLANTA SOMEWHERE LLC,Dining,52.96,
2023-10-19,2023-10-19,9556,TST* DOI MOI,Dining,15.47,
2023-10-18,2023-10-19,9556,SQ *LA COLOMBE - ULINE,Dining,3.3,
2023-10-18,2023-10-18,XXXX,TST* Evening Star Cafe,Dining,33.07,
2023-10-17,2023-10-18,9556,TIL*RZ PITA HOUSE,Dining,18.36,
2023-10-16,2023-10-18,XXXX,SAFEWAY 0866,Merchandise,13.27,
2023-10-17,2023-10-18,XXXX,SQ *LA COLOMBE - ULINE,Dining,6.29,
2023-10-17,2023-10-18,9556,DUNKIN #351850 Q35,Dining,2.6,
2023-10-16,2023-10-17,XXXX,FOXTROT MARKET - KING,Merchandise,3.23,
2023-10-16,2023-10-17,9556,DUNKIN #351850 Q35,Dining,2.6,
2023-10-16,2023-10-17,9556,NORTHSIDE 10,Dining,4.8,
2023-10-15,2023-10-17,9556,The Creamery,Dining,3.24,
2023-10-15,2023-10-16,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2023-10-14,2023-10-16,XXXX,FARMHOUSE CAFE,Dining,6.83,
2023-10-15,2023-10-16,9556,BURRITO BOWL MEXICAN G,Dining,12.07,
2023-10-15,2023-10-16,9556,UBER   ONE,Other Travel,4.0,
2023-10-14,2023-10-16,XXXX,HUDSONST1738,Merchandise,2.4,
2023-10-14,2023-10-16,XXXX,TST* LONERIDER RDU,Dining,9.54,
2023-10-13,2023-10-14,XXXX,ALOFT RALEIGH HOTEL FB,Dining,10.2,
2023-10-12,2023-10-14,XXXX,WILSONS EATERY,Dining,6.4,
2023-10-12,2023-10-13,9556,HANNAFORD #8004,Merchandise,5.55,
2023-10-11,2023-10-12,XXXX,TST* Five Star Restaur,Dining,8.73,
2023-10-11,2023-10-12,9556,GOOGLE *YouTubePremium,Internet,3.2,
2023-10-10,2023-10-11,9556,LINGUINE'S,Dining,20.4,
2023-10-10,2023-10-11,9556,SQ *BEN & JERRY'S,Dining,4.0,
2023-10-09,2023-10-10,9556,NORTHBORO HOUSE OF PIZ,Dining,15.18,
2023-10-08,2023-10-09,9556,STARBUCKS 65346,Dining,7.48,
2023-10-08,2023-10-09,9556,SALEM'S RETREAT LLC,Dining,13.48,
2023-10-07,2023-10-09,9556,TST* Mission Beach Hou,Dining,6.79,
2023-10-06,2023-10-07,9556,TST* New City Microcre,Dining,8.1,
2023-10-05,2023-10-05,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,163.87
2023-09-30,2023-10-03,9556,THE BEACON ROOM,Dining,33.93,
2023-10-02,2023-10-02,9556,TST* HOT CHOCOLATE SPA,Merchandise,6.22,
2023-10-02,2023-10-02,9556,TST* HOT CHOCOLATE SPA,Merchandise,3.84,
2023-10-01,2023-10-02,9556,MARKET BASKET 00000737,Merchandise,3.4,
2023-09-30,2023-10-02,9556,TST* Hog Island Beer C,Dining,12.96,
2023-09-30,2023-10-02,9556,JOMAMAS NY BAGELS,Dining,6.44,
2023-09-30,2023-10-02,9556,PB BOULANGERIE BISTRO,Dining,3.49,
2023-09-30,2023-10-02,9556,PB BOULANGERIE BISTRO,Dining,18.94,
2023-09-30,2023-09-30,9556,TST* HOT CHOCOLATE SPA,Merchandise,0.4,
2023-09-30,2023-09-30,9556,TST* HOT CHOCOLATE SPA,Merchandise,7.26,
2023-09-30,2023-09-30,9556,TST* HOT CHOCOLATE SPA,Merchandise,4.2,
2023-09-28,2023-09-28,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,2.78,
2023-09-28,2023-09-28,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,3.84,
2023-09-28,2023-09-28,9556,TST* HOT CHOCOLATE SPA,Merchandise,4.91,
2023-09-25,2023-09-27,9556,SHAWS 0690,Merchandise,49.13,
2023-09-15,2023-09-26,XXXX,UBER ONE STMT CRED 9556,Other Travel,,4.0
2023-09-22,2023-09-25,9556,THE CROOKED MILE CAFE,Dining,2.56,
2023-09-22,2023-09-25,9556,PORTLAND BEER HUB,Merchandise,1.7,
2023-09-23,2023-09-23,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,44.96
2023-09-23,2023-09-23,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,45.6
2023-09-22,2023-09-23,9556,HANNAFORD #8342,Merchandise,6.73,
2023-09-20,2023-09-21,9556,MARKET BASKET 00000737,Merchandise,17.0,
2023-09-18,2023-09-19,9556,AGAVE GRILL & CANTINA,Dining,20.0,
2023-09-18,2023-09-19,9556,SQ *BEN & JERRY'S,Dining,4.0,
2023-09-18,2023-09-18,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,466.14
2023-09-17,2023-09-18,XXXX,SP BEAN COUNTER BAKE,Merchandise,6.72,
2023-09-15,2023-09-18,XXXX,FIREBIRDS ERIE,Dining,19.21,
2023-09-16,2023-09-18,XXXX,SQ *FUNK 'N WAFFLES,Dining,12.21,
2023-09-15,2023-09-18,9556,STARBUCKS 52460 180030,Dining,6.57,
2023-09-15,2023-09-16,9556,SBARRO 1800319,Dining,7.1,
2023-09-15,2023-09-16,9556,UBER   PASS,Other Travel,4.0,
2023-09-14,2023-09-15,9556,SQ *ESENCIA URBAN KITC,Dining,19.3,
2023-09-14,2023-09-14,9556,TST* HUTCH,Dining,1.49,
2023-09-12,2023-09-13,9556,SQ *WAKE N BAKERY LAKE,Dining,9.0,
2023-09-11,2023-09-12,9556,COFFEETEA,Merchandise,3.32,
2023-09-11,2023-09-12,9556,GOOGLE *YouTubePremium,Internet,3.2,
2023-09-09,2023-09-11,9556,KINGSTON MINES,Dining,8.0,
2023-09-09,2023-09-11,9556,KINGSTON MINES,Dining,10.7,
2023-09-10,2023-09-11,9556,TST* Wake n Bacon,Dining,4.22,
2023-09-10,2023-09-11,9556,TST* Maison Marcel Lak,Dining,5.65,
2023-09-10,2023-09-11,9556,TST* Maison Marcel Lak,Dining,4.53,
2023-09-10,2023-09-11,9556,SQ *MINI DONUT FACTORY,Dining,0.8,
2023-09-09,2023-09-11,XXXX,SQ *TACOTLAN,Dining,4.45,
2023-09-10,2023-09-11,9556,TST* INTELLIGENTSIA -,Dining,6.03,
2023-09-10,2023-09-11,9556,TST* HUTCH,Dining,1.49,
2023-09-09,2023-09-11,9556,SQ *SEOUL TACO,Dining,3.68,
2023-09-09,2023-09-11,9556,SQ *DOOM STREET EATS,Merchandise,4.4,
2023-09-08,2023-09-09,9556,PORTILLOS HOT DOGS #40,Dining,1.92,
2023-09-08,2023-09-08,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,280.0
2023-09-06,2023-09-08,XXXX,GIRL & THE GOAT,Dining,67.55,
2023-09-03,2023-09-06,9556,MURRAY HOTEL,Lodging,3.73,
2023-09-02,2023-09-06,9556,MURRAY HOTEL,Lodging,1.69,
2023-09-02,2023-09-06,9556,MURRAY HOTEL,Lodging,1.27,
2023-09-03,2023-09-05,XXXX,GOOD DAY CAFE,Dining,4.43,
2023-09-04,2023-09-05,9556,Subway 19926,Dining,4.02,
2023-09-03,2023-09-04,9556,GRAND HOTEL RETAIL,Merchandise,5.09,
2023-09-03,2023-09-04,9556,WOODS RESTAURANT MACKI,Dining,54.54,
2023-09-03,2023-09-04,9556,TST* Patrick Douds Pub,Dining,7.61,
2023-09-02,2023-09-04,9556,CHUCKWAGON,Dining,18.64,
2023-09-03,2023-09-04,9556,TST* KINGSTON KITCHEN,Dining,52.86,
2023-09-01,2023-09-04,9556,CHIPPEWA HOTEL WATERFR,Dining,23.13,
2023-09-01,2023-09-02,9556,SEABISCUIT CAFE & GROG,Dining,21.67,
2023-09-01,2023-09-02,9556,DOUD'S MARKET,Merchandise,1.35,
2023-09-01,2023-09-02,9556,JOANN'S FUDGE 2,Merchandise,5.2,
2023-09-01,2023-09-02,9556,TST* Great Turtle Brew,Dining,9.51,
2023-09-01,2023-09-02,XXXX,SQ *COFFEE BY STEPH LL,Dining,7.9,
2023-08-31,2023-09-01,9556,TST* Dolci Amori - Cla,Dining,9.48,
2023-08-31,2023-09-01,9556,TST* Butchers Union,Dining,24.04,
2023-08-31,2023-09-01,9556,CULVERS OF HUDSONVILLE,Dining,4.21,
2023-08-31,2023-08-31,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,126.18
2023-08-29,2023-08-29,9556,TST*CHICAGO BAGEL AUTH,Dining,5.54,
2023-08-28,2023-08-29,XXXX,SEW SPECIAL DESIGNS,Merchandise,30.0,
2023-08-25,2023-08-29,9556,HILTON TRATTORIA II,Dining,36.52,
2023-08-28,2023-08-28,9556,UBER   TRIP,Other Travel,10.94,
2023-08-25,2023-08-28,9556,KID ROCKS HONKY TONK &,Dining,57.01,
2023-08-26,2023-08-28,9556,ELLA'S ON 2ND,Dining,8.0,
2023-08-27,2023-08-28,9556,PYRAMIDS CAFE NASHVILL,Dining,5.26,
2023-08-26,2023-08-28,9556,MUSIC CITY SHENOUDA,Dining,7.88,
2023-08-26,2023-08-28,9556,THE VALENTINE,Dining,13.44,
2023-08-27,2023-08-28,9556,SQ *BANGES,Dining,13.2,
2023-08-27,2023-08-28,XXXX,TST* INTELLIGENTSIA -,Dining,2.99,
2023-08-25,2023-08-28,XXXX,2WRIGLEY FIELD,Dining,4.42,
2023-08-25,2023-08-28,XXXX,2WRIGLEY FIELD,Dining,3.1,
2023-08-25,2023-08-28,XXXX,2LEVY@WRIGLEY FIELD-CO,Dining,3.1,
2023-08-27,2023-08-28,9556,TST* THAI ESANE,Dining,4.38,
2023-08-26,2023-08-28,9556,MUSIC CITY SHENOUDA,Dining,7.88,
2023-08-26,2023-08-28,9556,BB* PRINCES HOT CHICKE,Dining,7.91,
2023-08-25,2023-08-28,9556,ELLA'S ON 2ND,Dining,13.89,
2023-08-15,2023-08-26,XXXX,UBER ONE STMT CRED 9556,Other Travel,,4.0
2023-08-24,2023-08-26,9556,THE DINER,Dining,8.02,
2023-08-24,2023-08-25,9556,MARTINS BBQ JOINT,Dining,12.29,
2023-08-23,2023-08-25,9556,BAKERSFIELD NASHVILLE,Dining,22.4,
2023-08-23,2023-08-24,9556,DUNKIN #336536 Q35,Dining,4.86,
2023-08-24,2023-08-24,9556,UBER   TRIP,Other Travel,5.85,
2023-08-22,2023-08-23,9556,HUNTINGTON BANK PAVILI,Dining,16.1,
2023-08-22,2023-08-23,9556,SQ *STORM ICE CREAM,Dining,4.0,
2023-08-20,2023-08-21,XXXX,H MART - CHICAGO,Merchandise,18.23,
2023-08-17,2023-08-18,9556,TM *GOO GOO DOLLS,Entertainment,98.31,
2023-08-15,2023-08-16,9556,JERSEY MIKES 27035,Dining,7.22,
2023-08-15,2023-08-16,9556,UBER   PASS,Other Travel,4.0,
2023-08-15,2023-08-15,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,143.16
2023-08-13,2023-08-15,9556,DUTCH`S,Dining,8.42,
2023-08-13,2023-08-14,XXXX,CHICAGO STYLE GYROS #1,Dining,5.77,
2023-08-13,2023-08-14,XXXX,SQ *FARM CITY COFFEE B,Dining,3.68,
2023-08-13,2023-08-14,XXXX,TST* ISTANBUL SHAWARMA,Dining,2.61,
2023-08-13,2023-08-14,XXXX,TST* ISTANBUL SHAWARMA,Dining,4.37,
2023-08-12,2023-08-14,XXXX,TST* OKE POKE,Dining,6.96,
2023-08-12,2023-08-14,9556,VY BANH MI LLC,Dining,3.13,
2023-08-12,2023-08-14,9556,SQ *FM EAST PROM,Dining,4.8,
2023-08-12,2023-08-14,9556,SQ *COFFEE BY DESIGN,Dining,2.58,
2023-08-12,2023-08-14,9556,UBER   TRIP,Other Travel,6.63,
2023-08-11,2023-08-14,9556,PORTLAND SEA DOGS- CON,Dining,2.8,
